hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Normalized precision;Normalized recall;Next batch rainfall (mm/30min)
14;30;1;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
7;0;6;0;1.57;0.0;0.0;0.30434782608695654;0.0;0.2608695652173913;0.0;0.06416019615856151;0.0;0.0;0.59
11;0;0;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;30;1;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
6;0;0;0;0.6;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.024519820187985288;0.0;0.0;0.2
3;0;0;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;30;0;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
20;0;1;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;30;4;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
19;0;2;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
19;0;3;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
9;0;1;0;0.0;0.0;0.0;0.391304347826087;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;30;1;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
10;30;0;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0
16;30;0;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0;0.0;0.0
12;30;0;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0.0;0.0;0.0
12;30;0;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0;1;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.2
17;30;0;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0
15;30;3;0;0.2;0.0;0.0;0.6521739130434783;1.0;0.13043478260869565;0.0;0.008173273395995096;0.0;0.0;0.2
20;30;0;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0
11;0;2;0;0.2;0.0;0.0;0.4782608695652174;0.0;0.08695652173913043;0.0;0.008173273395995096;0.0;0.0;0.0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0;1;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0
19;0;0;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0;1;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
9;0;1;0;0.0;0.0;0.0;0.391304347826087;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
23;0;3;0;0.0;0.0;0.0;1.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
16;0;0;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;30;1;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
1;30;0;0;0.2;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.008173273395995096;0.0;0.0;0.0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;0;1;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0;0;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;30;4;0;0.0;0.0;0.0;0.391304347826087;1.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
17;0;0;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0;1;0;0.0;0.0;0.0;1.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
21;30;2;0;1.77;0.0;0.0;0.9130434782608695;1.0;0.08695652173913043;0.0;0.0723334695545566;0.0;0.0;0.79
18;30;6;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.782608695652174;1.0;0.2608695652173913;1.0;0.0;1.0;1.0;0.2
20;30;1;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
16;0;0;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0
13;0;1;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.2
16;30;4;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0;1;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
20;30;0;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;30;3;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.79
21;30;4;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
7;30;1;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;30;1;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
12;0;5;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
16;0;3;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
20;30;0;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4;30;1;0;0.2;0.0;0.0;0.17391304347826086;1.0;0.043478260869565216;0.0;0.008173273395995096;0.0;0.0;1.77
1;0;1;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
2;0;1;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0;2;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
7;30;1;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0
11;30;3;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
12;30;0;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0.0;0.0;0.0
13;0;0;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0
14;30;4;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
9;0;1;0;0.0;0.0;0.0;0.391304347826087;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
21;0;0;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;0;0;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0;1;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
7;30;0;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0.2
16;30;3;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
2;0;1;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0.59
0;30;1;0;0.0;0.0;0.0;0.0;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
4;30;0;0;0.2;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.008173273395995096;0.0;0.0;0.2
3;0;0;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0;2;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
14;0;1;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
8;30;0;0;0.59;0.0;0.0;0.34782608695652173;1.0;0.0;0.0;0.024111156518185534;0.0;0.0;0.2
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0;0;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;30;3;0;0.0;0.0;0.0;0.391304347826087;1.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
0;30;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
18;30;1;0;0.0;0.0;0.0;0.782608695652174;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
13;0;0;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;30;0;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.0;0.0;0.0;0.0;0.0;0.0
19;0;0;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;30;0;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0
18;30;0;0;0.0;0.0;0.0;0.782608695652174;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0;1;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
9;30;1;0;0.0;0.0;0.0;0.391304347826087;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;0;3;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
7;0;0;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;30;1;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
14;30;2;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
23;30;2;0;0.0;0.0;0.0;1.0;1.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
8;30;0;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2;30;0;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0;5;0;0.0;0.0;0.0;1.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0;2;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
21;30;0;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4;30;0;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0;0;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;30;2;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
14;30;7;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
6;30;4;0;0.59;0.0;0.0;0.2608695652173913;1.0;0.17391304347826086;0.0;0.024111156518185534;0.0;0.0;0.0
19;30;1;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
22;30;1;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
19;0;1;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;0;0;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;30;2;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
10;0;1;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
8;0;3;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
15;30;1;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;0;2;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
22;0;0;0;0.79;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.03228442991418063;0.0;0.0;0.4
7;30;0;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0;4;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
23;0;2;0;0.0;0.0;0.0;1.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
23;30;1;0;0.0;0.0;0.0;1.0;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
19;0;2;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
4;0;0;0;0.2;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.008173273395995096;0.0;0.0;0.59
19;0;6;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
22;30;2;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
21;0;1;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
8;0;0;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0
14;30;2;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
6;30;0;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0.0;0.0
14;0;2;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0;1;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
9;30;4;0;0.0;0.0;0.0;0.391304347826087;1.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
1;0;0;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;0;1;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
23;30;1;0;0.0;0.0;0.0;1.0;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
1;0;0;0;0.4;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.016346546791990192;0.0;0.0;0.59
7;30;0;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0;0;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0;0;0;0.0;0.0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;30;0;0;24.47;0.0;0.0;0.7391304347826086;1.0;0.0;0.0;1.0;0.0;0.0;0.6
16;30;1;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
18;30;5;0;0.0;0.0;0.0;0.782608695652174;1.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
7;0;1;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
0;30;1;0;0.0;0.0;0.0;0.0;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
1;30;0;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0;1;0;0.0;0.0;0.0;1.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
22;30;1;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
15;0;2;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
11;30;3;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.2
0;30;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
21;0;0;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0;0;0;0.2;0.0;0.0;0.30434782608695654;0.0;0.0;0.0;0.008173273395995096;0.0;0.0;0.0
21;30;0;0;0.6;0.0;0.0;0.9130434782608695;1.0;0.0;0.0;0.024519820187985288;0.0;0.0;0.59
8;30;0;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0;0;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0;0.0;0.0
