hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min);Next batch rainfall class
18;0;1;0;0.0;0.782608695652174;0.0;0.05;0.0;0.0;0.0;0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0;0
20;0;3;0;0.0;0.8695652173913043;0.0;0.15;0.0;0.0;0.0;0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0
7;0;2;0;0.0;0.30434782608695654;0.0;0.1;0.0;0.0;0.0;0
13;0;0;0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0;0
13;0;0;0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0;0
15;0;5;0;0.0;0.6521739130434783;0.0;0.25;0.0;0.0;0.0;0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0;0
11;30;0;0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0.0;0
12;30;2;0;0.2;0.5217391304347826;1.0;0.1;0.0;0.042462845010615716;0.0;0
15;30;2;0;0.0;0.6521739130434783;1.0;0.1;0.0;0.0;0.0;0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0;0
6;30;4;0;0.0;0.2608695652173913;1.0;0.2;0.0;0.0;0.0;0
6;30;1;0;0.0;0.2608695652173913;1.0;0.05;0.0;0.0;0.0;0
10;30;1;0;0.0;0.43478260869565216;1.0;0.05;0.0;0.0;0.0;0
7;0;2;0;0.0;0.30434782608695654;0.0;0.1;0.0;0.0;0.0;0
9;30;0;0;1.37;0.391304347826087;1.0;0.0;0.0;0.29087048832271767;0.98;0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0
12;0;0;0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0.0;0
18;0;1;0;0.0;0.782608695652174;0.0;0.05;0.0;0.0;0.0;0
21;30;0;0;0.0;0.9130434782608695;1.0;0.0;0.0;0.0;0.0;0
10;0;1;0;0.0;0.43478260869565216;0.0;0.05;0.0;0.0;0.0;0
15;0;2;0;0.0;0.6521739130434783;0.0;0.1;0.0;0.0;0.0;0
0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.042462845010615716;0.79;0
15;30;1;0;0.0;0.6521739130434783;1.0;0.05;0.0;0.0;0.0;0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0;0
16;30;2;0;0.0;0.6956521739130435;1.0;0.1;0.0;0.0;0.0;0
17;0;1;0;0.0;0.7391304347826086;0.0;0.05;0.0;0.0;0.0;0
19;0;1;0;0.0;0.8260869565217391;0.0;0.05;0.0;0.0;0.0;0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0
1;0;1;0;0.0;0.043478260869565216;0.0;0.05;0.0;0.0;0.0;0
3;0;1;0;0.0;0.13043478260869565;0.0;0.05;0.0;0.0;0.0;0
17;0;2;0;0.0;0.7391304347826086;0.0;0.1;0.0;0.0;0.0;0
13;30;5;0;0.0;0.5652173913043478;1.0;0.25;0.0;0.0;0.0;0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0;0
22;0;2;0;0.0;0.9565217391304348;0.0;0.1;0.0;0.0;0.0;0
15;0;2;1;0.0;0.6521739130434783;0.0;0.1;1.0;0.0;0.0;0
8;0;1;0;0.0;0.34782608695652173;0.0;0.05;0.0;0.0;0.0;0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0;0
10;0;1;0;0.0;0.43478260869565216;0.0;0.05;0.0;0.0;0.0;0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0;0
10;0;1;0;0.2;0.43478260869565216;0.0;0.05;0.0;0.042462845010615716;0.0;0
16;30;2;0;0.0;0.6956521739130435;1.0;0.1;0.0;0.0;0.0;0
14;30;4;0;0.0;0.6086956521739131;1.0;0.2;0.0;0.0;0.0;0
12;30;2;0;0.0;0.5217391304347826;1.0;0.1;0.0;0.0;0.0;0
1;0;2;0;0.0;0.043478260869565216;0.0;0.1;0.0;0.0;0.0;0
18;30;2;0;0.0;0.782608695652174;1.0;0.1;0.0;0.0;0.0;0
10;0;2;0;0.0;0.43478260869565216;0.0;0.1;0.0;0.0;0.0;0
19;0;2;0;0.0;0.8260869565217391;0.0;0.1;0.0;0.0;0.0;0
